gene_id,gene_symbol,gene_description
813097,PF3D7_0528400,palmitoyltransferase DHHC7
32351,jub,Ajuba LIM protein
2538971,SPCC1322.10,cell wall protein Pwp1
42521,e,ebony
26097,CHTOP,chromatin target of PRMT1
10273,STUB1,STIP1 homology and U-box containing protein 1
836242,SNAP33,soluble N-ethylmaleimide-sensitive factor adaptor protein 33
83988,NCALD,neurocalcin delta
83413,glra4a,"glycine receptor, alpha 4a"
12950,Hapln1,hyaluronan and proteoglycan link protein 1
22021,Tpst1,protein-tyrosine sulfotransferase 1
8618665,DDB_G0272811,WASP-related protein
2525,FUT3,fucosyltransferase 3 (Lewis blood group)
828896,BGLU10,beta glucosidase 10
41657006,F53E2.2,Actin-depolymerizing factor 1
25444,Fgf9,fibroblast growth factor 9
7589,ZSCAN21,zinc finger and SCAN domain containing 21
553363,fto,FTO alpha-ketoglutarate dependent dioxygenase
26063,DECR2,"2,4-dienoyl-CoA reductase 2"
216028,Lrrtm3,leucine rich repeat transmembrane neuronal 3
5525,PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha
41124,betaTub85D,beta-Tubulin at 85D
2539437,rgf3,RhoGEF Rgf3
1173,AP2M1,adaptor related protein complex 2 subunit mu 1
67095,Trak1,"trafficking protein, kinesin binding 1"
854126,SIL1,Sil1p
853248,RPS14B,ribosomal 40S subunit protein S14B
818881,PP5.2,protein phosphatase 5.2
2768877,CG5541,uncharacterized protein
5456,POU3F4,POU class 3 homeobox 4
378866,ddit4,DNA-damage-inducible transcript 4
855239,CLN1,cyclin CLN1
850601,SAP155,Sap155p
42058,Patr-1,Protein associated with topo II related - 1
36286,pds5,precocious dissociation of sisters 5
2540749,rsc1,RSC complex subunit Rsc1
353224,nrarpa,NOTCH regulated ankyrin repeat protein a
103733,Tubg1,"tubulin, gamma 1"
63865,Lgmn,legumain
819403,CRR6,chlororespiratory reduction 6
850848,YNCL0009C,tRNA
838793,DREB26,Integrase-type DNA-binding superfamily protein
506,ATP5F1B,ATP synthase F1 subunit beta
820629,AT3G14120,nuclear pore complex protein
944765,caiT,L-carnitine:gamma-butyrobetaine antiporter
